PLAsTiCC_obj_id,g_pk_time,r_pk_time,i_pk_time,z_pk_time,y_pk_time,g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,y_pk_mag,g_alpha,g_beta,r_alpha,r_beta,i_alpha,i_beta,z_alpha,z_beta,y_alpha,y_beta,g_err_time,r_err_time,i_err_time,z_err_time,y_err_time,g_err_mag,r_err_mag,i_err_mag,z_err_mag,y_err_mag,g_err_alpha,g_err_beta,r_err_alpha,r_err_beta,i_err_alpha,i_err_beta,z_err_alpha,z_err_beta,y_err_alpha,y_err_beta,type,photo_z
216,60024.35946,60026.57756,60029.207,60027.10065,60027.54968,-17.926561,-19.145814,-19.106725,-19.097481,-18.963664,-6.969903467,0.045903079,-6.225855822,-0.027073207,-1.523428927,0.47728621,0.382170357,0.120384776,1.996197837,-0.338271448,2.23017658,0.210077221,0.455081148,0.461300214,1.406284707,4.022561872,0.015588746,0.017152609,0.022593888,0.864116593,1.426872726,0.303312261,0.409079795,0.154336056,0.20658017,0.092138394,0.210013918,0.105139805,0.39253767,0.238183733,SN Ia,0.438
277,,60215.9596,60220.60646,60224.58408,60221.28431,,-19.691484,-20.11409,-20.052958,-19.856438,,,-8.985985556,0.373538813,-6.362492718,0.999536433,-1.781221217,1.150943795,0.220049755,0.31733964,,0.939890351,0.821438114,1.711643288,2.223914489,,0.040402126,0.030593897,0.038765527,0.59567873,,,0.90923264,0.288920724,0.347884445,0.160562591,0.330668099,0.161176471,0.626773017,0.38287604,SN Ia,0.899
289,,60595.11962,60598.13786,60599.76223,60598.6294,,-18.646414,-19.577732,-19.640409,-19.849249,,,-8.372181885,0.55434681,-5.938134977,0.978615563,-1.614889032,1.035788813,0.357499648,0.265336544,,0.748025748,1.244394238,2.180561372,2.154876497,,3.067307631,0.041257737,0.046744306,0.677791095,,,0.91227579,0.299810579,0.342326308,0.165316883,0.322435043,0.162328521,0.606933224,0.370626292,SN Ia,0.863
316,59851.66446,59856.89605,59859.07792,59860.62603,,-18.51556,-18.539183,-18.032429,-17.775629,,-7.622777965,-0.065524622,-6.589303408,0.503287502,-3.355706624,0.710529958,-0.404126136,0.544667088,,,2.706473854,1.256774739,0.609460023,0.946164169,,5.404323078,0.054559591,1.685358409,0.787348752,,1.886562198,0.37714061,0.667694924,0.239692925,0.281996725,0.136490457,0.268580948,0.139276991,,,SN II,0.63
357,,59811.15856,59814.24852,59816.16207,59814.89387,,-19.441467,-19.957626,-19.997033,-19.588391,,,-8.493140241,0.559580096,-6.259632336,0.902261835,-1.763519968,1.046074033,0.32852941,0.319224351,,0.760561442,1.567652276,1.92367852,2.188557406,,4.355194567,0.038334144,0.047993148,0.778664598,,,0.932331038,0.304907448,0.349523342,0.16853284,0.32901705,0.166075526,0.613626732,0.375446887,SN Ia,0.883
366,,60663.40874,60667.41324,60671.0657,60668.36374,,-18.840581,-19.923358,-20.025704,-19.813703,,,-9.063540154,0.586740023,-7.336581771,1.097133992,-2.282043028,1.280277414,-0.128217955,0.448196172,,1.279150063,0.947162306,0,2.279875437,,2.081449427,1.261940868,0.047928961,0.656208089,,,1.041189876,0.332105059,0.382428576,0.187910669,0.357913785,0.181047153,0.676579254,0.413323096,SN Ia,0.988
384,60233.35107,60238.57228,60240.36682,60243.89868,60240.57052,-18.638274,-20.134638,-20.550522,-20.300826,-20.25582,-9.23430346,-0.39876808,-8.526561247,0.203158113,-5.395326925,0.846799458,-1.338510223,0.927286278,0.576699235,0.195650873,0.893748372,0.336096096,0.501630589,2.162640755,2.038468327,0.060153141,0.017327565,0.016706125,0.031109737,0.580454647,2.199410681,0.429163418,0.809642523,0.21044335,0.327571312,0.145968371,0.311918936,0.160060766,0.575979519,0.352292319,SN Ia,0.81
409,,60583.05778,60585.41,60588.22089,60595.05984,,-19.232851,-20.054226,-19.834776,-19.794902,,,-7.359294926,0.69034498,-5.104043497,0.831775189,-1.294826429,0.875026049,0.629168748,0.214005093,,0.944911801,0,1.120308704,3.984819826,,0.04419008,0.027098656,0.039200879,0.111605639,,,0.78787933,0.260539991,0.304791421,0.144276231,0.301799926,0.151121693,0.568973124,0.34230569,SN Ia,0.795
413,60174.65386,60179.28715,60181.82348,60184.90369,60182.133,-18.19198,-19.623825,-19.740064,-19.741365,-19.784489,-7.650003517,-0.07178312,-6.794769945,0.468605602,-3.600240182,0.706969161,-0.419395861,0.571776216,1.173587872,0.117088108,2.845802421,0.348677117,0.590948517,1.656576647,2.373571255,5.696310784,0.023713914,0.029540395,0.041822179,0.081967133,1.915266569,0.381661334,0.614681159,0.188196932,0.262665997,0.125882877,0.249613595,0.136393017,0.475570704,0.28362807,SN Ia,0.641
466,60199.37985,60203.29688,60205.88006,60205.15202,60204.61034,-18.931785,-19.911424,-19.637886,-19.710322,-19.596943,-8.349077595,-0.048214269,-6.040362902,0.482284782,-1.8511404,0.754900766,0.299949174,0.229058812,1.842290304,-0.174172778,0.630452623,0.207530631,0.356514889,0.423234749,1.150821882,0.032834702,0.017140756,0.017548389,0.021504431,0.054278572,1.190749262,0.317993108,0.430074982,0.16727724,0.217071197,0.099609051,0.20000607,0.111622163,0.410568964,0.236001659,SN Ia,0.498
478,60216.22492,60222.18122,60224.64651,,,-18.883676,-18.732615,-18.027604,,,-7.814524939,-0.111271676,-7.16247921,0.559760871,-4.234089614,0.795721712,,,,,2.959047601,1.512534288,0.654712875,,,5.954688845,0.038855625,2.897012393,,,2.09363027,0.410063516,0.733951651,0.254972783,0.302834399,0.147231815,,,,,SN II,0.709
561,,,60185.29021,60178.87329,,,,-19.774676,-20.012001,,,,,,-6.728815832,1.016759328,-1.975707546,1.188995901,,,,,2.220437172,6.442718135,,,,0.070036931,0.147710316,,,,,,0.364799742,0.178356592,0.342151866,0.175231983,,,SN Ia,0.931
607,60166.28541,60174.37324,60168.8754,60177.401,60176.47782,-14.883107,-16.648469,-16.975339,-17.411091,-17.38752,-6.033569129,0.160219266,1.517927961,0.073030706,2.409220735,0.264602039,2.378198866,-0.464038805,2.901874051,-0.624043082,1.753613014,0.000229875,0,0.000138185,1.511112324,4.324029652,0.033408032,0.026759758,0.036876164,0.100964739,1.045567093,0.243371825,0.2687302,0.143230162,0.15982886,0.087536151,0.174126411,0.094914153,0.310875654,0.188742687,SN II,0.241
613,60403.91672,60408.84661,60409.40981,60408.75249,60407.08772,-18.192794,-17.674046,-17.679888,-17.729285,-17.962927,-5.555769718,-0.111014178,-0.965491742,0.982046548,0.694675762,0.505509155,1.773144747,0.042670685,2.515510224,-0.529426833,0.473847477,0.520127792,0.608508658,0.881200814,1.227309762,0.019672062,0.029310863,0.027390621,0.038107484,1.126301623,0.621230469,0.235200363,0.347360668,0.160784167,0.193134898,0.093927788,0.195403032,0.106011372,0.339738635,0.205383542,SN II,0.303
639,60559.83167,60561.90628,60567.68852,60573.81328,60568.32229,-18.625232,-20.205591,-20.37975,-20.298276,-20.291738,-7.800082505,-0.10664111,-2.174214035,0.530373955,-1.222766477,0.408472309,0.395862097,0.346002305,1.833450242,0.366454967,3.041925362,2.729203936,0.979896924,0.774392877,3.470424058,6.320686107,0.070803956,0.022317437,0.022404451,0.059087013,2.071335937,0.406681704,0.32820643,0.226258076,0.18021793,0.113963911,0.187527877,0.113734999,0.39819299,0.238823637,SN II,0.701
674,59869.11295,59873.38803,59875.30081,59876.11496,,-18.263415,-18.089996,-17.90949,-17.747257,,-7.397766132,-0.021829322,-5.990381837,0.474272467,-2.499203719,0.645501644,-0.010415526,0.380537198,,,2.576083732,0.568643165,1.594414758,0.657009984,,5.811895231,3.221497796,0.057365885,0.670142591,,1.699486409,0.347079448,0.634314357,0.22663985,0.262446645,0.125726446,0.252223298,0.131333612,,,SN II,0.555
687,59646.60165,59649.91073,59652.33779,59652.09822,59650.06712,-19.543198,-20.317695,-20.111489,-20.124703,-19.874557,-8.041733774,-0.11839996,-5.097167117,0.752414986,-1.61120784,0.639202063,0.676512602,0.149486177,1.937315893,-0.097049476,0.957850801,0.404925414,0.350048616,0.517727161,1.83842691,0.020199937,0.010243859,0.012724506,0.016940445,0.043223453,1.356972131,0.307013065,0.298714331,0.16584024,0.169539051,0.105335442,0.157413621,0.110841117,0.309132457,0.226792129,SN Ia,0.506
699,60154.73803,60159.3203,60161.02705,60161.81824,60160.03145,-18.093766,-19.365531,-19.43535,-19.443401,-19.438803,-7.426315041,-0.027161268,-6.871831945,0.262629261,-2.75179365,0.625126755,-0.151415821,0.315013876,1.512101067,-0.158000161,2.60379314,0.339196867,0.431717432,0.622861306,1.606770846,5.233870305,0.019862276,0.019530414,0.02619486,0.712947458,1.721465738,0.350616131,0.520638787,0.207716861,0.247461221,0.117539706,0.22898765,0.123806421,0.450189586,0.274052851,SN Ia,0.564
721,59835.28977,59840.5352,59840.4532,59850.7082,,-17.208213,-17.109291,-17.792214,-17.849051,,-7.07988797,0.030386062,-4.688935733,0.521196484,-0.721718129,0.487632955,0.722628572,0.159626979,,,2.307251614,2.296561665,0.000123591,0,,4.600652167,0.057611675,0.044739785,0.067246166,,1.487217767,0.313008645,0.549571706,0.206547271,0.217561336,0.111347003,0.225663927,0.120269465,,,SN II,0.465
734,,60604.93629,60613.9578,60616.06477,,,-19.344382,-19.813384,-19.773885,,,,-8.988418494,0.568399091,-6.977450238,1.172308571,-2.128167678,1.260403703,,,,2.252958753,1.221281874,2.127347253,,,0.060140631,0.035783204,0.050226642,,,,1.007392996,0.322165934,0.372181625,0.17842094,0.34755292,0.176977102,,,SN II,0.967
833,59978.75402,59982.22014,59984.3311,59984.95822,59984.73848,-17.993418,-19.341053,-19.366792,-19.423303,-19.342064,-7.21476768,0.008845565,-5.520251525,0.534677892,-1.625489765,0.624780467,0.169648097,0.259949651,1.746067841,-0.192089939,2.415584628,0.479309484,0.375306106,0.000369344,1.199797065,4.899461102,0.023872943,0.018999855,0.023505893,0.058283156,1.57289158,0.326711421,0.386022795,0.18356374,0.199891719,0.105718716,0.199574709,0.114454001,0.401179955,0.24604792,SN Ia,0.502
834,59876.43289,59880.17431,59881.21814,59882.2719,59882.26902,-18.452497,-19.653355,-19.691101,-19.702217,-19.685564,-8.762512054,-0.490602037,-5.914907013,0.538875773,-2.658300804,0.702596109,0.018896248,0.542105321,1.420682774,-0.239064198,0.527598968,0.240419176,0.287203684,0.441091717,1.012269136,0.039560916,0.016431069,0.016462201,0.020753423,0.047509544,1.388525382,0.320762887,0.557677717,0.166047595,0.255037663,0.104502126,0.248915057,0.114426233,0.44925484,0.250873056,SN Ia,0.573
883,59840.27809,59847.72897,59849.77087,59851.85767,59836.86287,-17.234027,-19.228507,-20.001016,-19.990025,-20.338093,-8.047226316,-0.189520881,-8.792458704,0.336545587,-5.830071564,0.922344876,-1.716765872,0.878198378,0.658588376,0.345292248,3.521839215,0.862007573,0.658397283,1.07144309,0,8.024279947,0.041242549,0.028184992,0.034638374,0.095021814,2.467277489,0.468532088,0.837607131,0.271614565,0.327734518,0.151514947,0.312627465,0.152739127,0.550488886,0.336906893,SN Ia,0.844
886,,,59846.6378,,,,,-17.412893,,,,,,,-1.255820626,0.548156579,,,,,,,0,,,,,0.083536129,,,,,,,0.235628102,0.113894035,,,,,SN II,0.459
916,59678.69761,59678.69001,59679.66442,59679.29684,59675.0856,-19.170332,-19.920326,-19.807463,-19.731674,-19.401417,-7.402090852,-0.062125047,-4.51905548,0.43340999,-0.832859475,0.508671591,0.777908839,0.081121847,2.139965957,-0.325086544,0.768212126,0.558124852,0.498479852,0.650009538,0.850734121,0.024617696,0.011249681,0.012260203,0.015628443,0.04217984,1.286750372,0.286163135,0.502376872,0.186074408,0.226685168,0.105881253,0.221288009,0.114633092,0.370591661,0.202682075,SN Ia,0.408
917,,60531.97317,60532.73291,60536.94685,60534.04017,,-19.746983,-20.362725,-20.499045,-20.404342,,,-10,0.305612102,-8.292882962,1.189922692,-2.77258919,1.489700525,-0.460886484,0.569585023,,1.245681964,1.010367198,3.249845788,2.441661192,,0.041135746,6.768383329,0.041820697,1.276378244,,,0,0.327784753,0.408265024,0.201047275,0.378260964,0.193461647,0.72512129,0.443277081,SN Ia,1.074
946,,,,59795.95189,59779.52989,,,,-21.023638,-21.508193,,,,,,,-4.058288235,2.059077373,-1.414371621,1.078282989,,,,2.003735534,0,,,,0.044446932,0.139143205,,,,,,,0.441180322,0.218026357,0.835516196,0.507009546,SN II,1.346
960,,59825.79769,59828.1049,59836.75879,59827.60335,,-18.619186,-19.512608,-19.418242,-19.607949,,,-6.95227015,0.502898333,-3.80244386,0.720716433,-0.563908778,0.636437531,1.120294283,-0.015636317,,0.62924637,5.293813385,2.620713953,1.786247648,,11.23455431,0.220745248,0.050715209,2.836710084,,,0.726712273,0.251404466,0.289329025,0.140769299,0.275730671,0.141484884,0.501152962,0.305409474,SN Ia,0.665
965,,60174.85701,60177.09403,60179.64218,60179.27471,,-19.598444,-19.837026,-19.790035,-19.752246,,,-6.869168773,0.716800646,-3.877676991,0.735703623,-0.639139865,0.7489982,1.082877644,0.006336706,,0.393078219,0.447069545,0.750156319,1.772637621,,0.023418087,0.022454898,0.030798809,0.076087934,,,0.625072314,0.216651938,0.268711214,0.127549898,0.245506195,0.133307791,0.503373477,0.296941201,SN Ia,0.675
978,60251.31503,60252.69702,60255.25614,60254.5416,60251.62531,-19.012326,-19.855541,-19.693854,-19.781239,-19.690816,-9.097824209,-0.338589071,-6.135409948,0.398629034,-1.845108175,0.57427859,0.240236814,0.202682229,1.909174404,-0.244601548,0.667536704,0.397100109,0.818352674,0.934914286,1.298815797,0.053924237,0.021876172,0.030102455,0.030867015,0.062353378,1.144303756,0.283301856,0.389075428,0.159265836,0.244832757,0.117407495,0.207884196,0.12105699,0.357882019,0.23407595,SN Ia,0.492
983,59851.76554,59846.0373,59855.2983,59855.2983,,-16.474729,-17.067557,-17.019207,-17.360309,,-6.457395657,0.112676108,-0.099744608,0.595664168,0.469305222,0.324495816,1.554122571,-0.101221523,,,1.930586693,0,0,0,,3.376734527,0.032957335,0.04189611,0.048621112,,1.189271397,0.265626443,0.301539833,0.149650016,0.199667507,0.097114264,0.197752068,0.107226144,,,SN II,0.323
1017,,60214.51674,60220.00612,60217.15766,60222.15775,,-20.797361,-21.476608,-21.101143,-21.140663,,,-9.735820385,0.773531037,-9.862322637,1.154709603,-3.371533825,1.778063242,-0.925700742,0.73795928,,3.154613135,1.141766898,4.340173227,2.813802866,,0.099320047,0.024857182,0.067006826,0.815314064,,,1.189979475,0.372964006,0.437018608,0.211622821,0.414020165,0.210014079,0.79475128,0.486618456,SN II,1.195
1059,,60193.42687,60196.88299,60192.96518,60197.99075,,-19.144329,-20.267714,-20.406989,-20.414364,,,-9.047572698,0.586101428,-7.122873123,1.195237835,-2.157067648,1.286422938,-0.112963525,0.439348394,,0.825528236,1.37981034,2.828348488,2.393137644,,4.869681767,0.041224073,0.057683387,0.864841848,,,1.038073044,0.331321359,0.376792208,0.184461336,0.351411475,0.179491357,0.675009088,0.412590418,SN Ia,0.985
1108,60615.58801,60627.11701,60635.96461,60637.38266,,-19.270947,-18.85238,-18.412872,-18.179763,,-7.140817954,-0.158084899,-6.410514895,0.480272871,-3.470522201,0.752050499,-0.488519324,0.581039992,,,0,1.103205159,1.577152178,0.713379725,,0.031838358,0.042808929,0.093558513,0.906789348,,1.194889409,0.342269234,0.626689626,0.236588903,0.285232326,0.138584545,0.272600795,0.141139998,,,SN II,0.647
1114,,59921.80634,59923.65991,59924.52792,,,-17.752697,-17.802459,-18.012504,,,,-5.99867707,0.36133779,-2.333670707,0.611030083,0.077792606,0.342853131,,,,1.518167276,0.559667546,0.87039452,,,0.070279269,1.334554246,0.657637398,,,,0.617632512,0.219681183,0.259071344,0.124642814,0.248631894,0.129630232,,,SN Iax,0.538
1123,60048.70412,60051.57179,60053.77045,60054.7664,60053.03746,-19.023512,-19.967754,-19.93974,-19.885861,-19.815606,-7.478637633,-0.0369795,-6.228953916,0.480904589,-2.812724145,0.656934518,-0.136302121,0.434757587,1.4443079,-0.134302667,3.66929169,0.904726498,0.671402762,0,1.558319955,8.75618954,1.479272633,0.460885604,0.023265935,0.714721714,1.763542495,0.357354768,0.655330919,0.232293138,0.269427969,0.130045358,0.245831923,0.119225842,0.458669806,0.279104446,SN Ia,0.581
1127,,,,60221.76921,,,,,-19.803509,,,,,,,,-2.930784212,1.530964824,,,,,,6.068117255,,,,,0.079545883,,,,,,,,0.389691028,0.196634645,,,SN Ia,1.108
1128,59612.47657,59612.02786,59615.32943,59618.38227,59614.99285,-17.307646,-18.110273,-18.107901,-17.918003,-18.026995,-6.156528186,0.146876614,-2.931142342,0.408000492,0.518682811,0.283925106,1.309017406,-0.286603117,2.533992276,-0.566824118,1.800250527,3.804399495,2.179734465,1.799854892,3.624174861,8.81122503,0.190649616,0.057698966,0.032773251,0.118825902,1.083314449,0.249149532,0.300013536,0.172114026,0.169133239,0.093576613,0.181044984,0.105445242,0.30758539,0.196007886,SN Iax,0.264
1216,,60188.63997,60193.45001,60182.80382,60194.0891,,-19.831439,-20.33477,-20.540227,-20.339881,,,-8.823496543,0.494182281,-6.187312708,0.986855988,-1.779325978,1.104205148,0.29208708,0.304709989,,3.301793756,1.291425524,6.276212226,2.192725256,,0.116512542,0.034420843,0.196692544,0.679430663,,,0.913694788,0.301558612,0.344733561,0.171364556,0.328952844,0.163206899,0.617099671,0.376925581,SN Ia,0.884
1254,,59872.55027,59876.4324,59881.39609,,,-19.301124,-19.863214,-20.275026,,,,-9.561891307,0.617106286,-8.642070546,1.204151426,-2.873800646,1.555342115,,,,0.903179275,0,2.507635342,,,1.463791523,0.048409667,0.048896232,,,,1.168879128,0.362894194,0.416040306,0.203360878,0.388704772,0.19515291,,,SN Ia,1.104
1271,,60579.472,60583.55429,60585.3913,60584.75332,,-19.590867,-20.489561,-20.502658,-20.066867,,,-9.419440104,0.439103048,-7.33347209,1.207352348,-2.460056168,1.221928147,-0.18652223,0.464728266,,1.080625129,0.742865818,2.73542408,2.430820852,,0.065012856,0.037036373,0.065406517,0.772905682,,,0.984428099,0.307821973,0.371199378,0.168794005,0.360406972,0.182471784,0.685429546,0.418827193,SN Ia,1.004
1388,,60194.86586,60197.9662,60198.05143,,,-19.109177,-20.131143,-20.13667,,,,-8.510973281,0.560445491,-6.008046506,1.147411503,-1.811193522,1.054940131,,,,0.762339995,0,2.147339249,,,1.419637507,0.033227033,0.044691557,,,,0.93532946,0.305651745,0.331006918,0.156132555,0.327596215,0.167059324,,,SN Ia,0.886
1393,59648.65846,59649.15634,59653.333,59653.70632,,-17.805283,-18.285916,-18.134408,-18.174657,,-6.907677966,0.054638696,-2.33934892,0.186111092,-0.612392354,0.499445795,0.846194988,0.075579629,,,2.189708949,0.876573492,0,1.543082378,,3.800179297,0.030290098,0.040702171,0.056207685,,1.394108655,0.298051091,0.374534055,0.185176371,0.212251983,0.109001101,0.215290174,0.117024315,,,SN II,0.423
1450,,59942.97967,59945.56257,59949.3214,,,-19.400356,-20.057271,-19.977401,,,,-8.243961123,0.362182698,-5.282709804,0.893625951,-1.294703741,0.926473263,,,,0.81001829,0.883838905,4.181941057,,,0.033080278,0.029448717,0.093420329,,,,0.846750834,0.273977618,0.328265649,0.15836968,0.310189477,0.159387509,,,SN Ia,0.803
1467,,60355.9165,60358.68272,60359.51523,,,-18.874857,-19.769401,-19.636034,,,,-7.917177262,0.535933881,-5.288331232,0.766694958,-1.338839951,0.782234136,,,,0.70484406,0.930752189,2.458903357,,,2.356597181,0.032000074,0.048496433,,,,0.84391607,0.282238518,0.320240214,0.148747132,0.305151928,0.154073789,,,SN Ia,0.793
1487,60365.76917,60370.67598,60372.81282,60374.06426,60373.46232,-17.777718,-19.409656,-19.56405,-19.639293,-19.633574,-7.620691455,-0.06540883,-6.256645376,0.679010919,-3.162408479,0.757124201,-0.43735245,0.563318743,1.262493348,-0.052149827,2.811774438,0.4975797,0.730007616,1.598767482,3.891027392,7.066311156,0.025030108,0.025750339,0.036145068,0.087128049,1.88699597,0.377147632,0.615701451,0.195778022,0.259968538,0.125849188,0.24824381,0.134087887,0.482989018,0.292691144,SN Ia,0.63
1498,60040.14104,60047.2937,60049.23222,60047.45015,60049.49602,-18.535228,-19.611753,-20.282453,-20.075613,-19.956861,-7.99656269,-0.16924206,-8.39258762,0.396827533,-5.410363415,0.862359553,-1.295152207,0.957762406,0.592415566,0.198305348,3.40144136,1.617632883,1.180799911,2.738724873,2.049079174,6.895728436,0.030184986,0.022111134,0.036353211,0.713041181,2.368378628,0.453152476,0.809043422,0.275687741,0.326269618,0.156472424,0.309126125,0.158142147,0.573442054,0.351616164,SN Ia,0.809
1500,,,60365.31538,60369.2547,,,,-19.698913,-20.095377,,,,,,-7.825851394,1.144554982,-2.467677507,1.441323473,,,,,0.97939498,2.272539079,,,,4.660959367,0.058500071,,,,,,0.395588298,0.19460856,0.368987895,0.185700045,,,SN Ia,1.032
1523,60030.44901,60034.71781,60036.16551,60036.05901,60035.31411,-18.062215,-17.844787,-17.774186,-17.834973,-17.812777,-6.286186637,-0.067675505,0.20711004,-0.15435944,1.866667474,0.010406262,2.192187119,-0.455912369,2.987170297,-0.742295626,1.08653171,0.420877813,0.37107622,0.436093567,1.193329027,0.015498028,0.019726142,0.019318928,0.023829941,0.055117495,0.743258691,0.244320171,0.28435633,0.149816231,0.163680719,0.087786183,0.167935893,0.098702915,0.308008087,0.185170125,SN II,0.267
1536,60565.823,60570.09555,60572.0094,60582.8944,,-18.486209,-18.28285,-18.233183,-18.500259,,-7.397789529,-0.021967946,-5.991480164,0.474052378,-1.997101768,0.632950321,0.069534668,0.403797901,,,2.576357313,0.568565137,0,0,,6.186622851,1.116152721,0.068006512,0.098144704,,1.699391213,0.347079016,0.634243895,0.226636843,0.248969571,0.125640401,0.248578553,0.12962411,,,SN II,0.555
1545,,60573.66268,60576.5178,60578.08682,60576.07249,,-19.510241,-19.735328,-19.657582,-19.600951,,,-7.646194706,0.512793539,-3.991350814,0.675018214,-0.49611235,0.699880276,1.121058952,-0.006493989,,0.732562148,0.626729064,0.955427963,1.788091635,,0.02537025,0.0241256,0.033055264,0.645323261,,,0.582203092,0.220568104,0.273220502,0.129055562,0.264340387,0.133335404,0.501062627,0.306817448,SN Ia,0.67
