g_pk_mag,r_pk_mag,i_pk_mag,z_pk_mag,g_alpha,g_beta,r_alpha,r_beta,i_alpha,i_beta,z_alpha,z_beta,g_err_mag,r_err_mag,i_err_mag,z_err_mag,g_err_alpha,g_err_beta,r_err_alpha,r_err_beta,i_err_alpha,i_err_beta,z_err_alpha,z_err_beta,type
-9999.0,-18.659693,-19.654935,-19.859355,-9999.0,-9999.0,-7.888281968,0.535109453,-5.140516997,0.869380917,-1.204255612,0.893860231,-9999.0,6.077474508,0.059008299,0.065128723,-9999.0,-9999.0,0.840182007,0.281256243,0.324156317,0.157720591,0.302515532,0.156450455,SN Ia
-18.22212,-19.725622,-19.951037,-19.948563,-7.691646651,-0.081056797,-6.6979705,0.64687762,-3.489631,0.76780155,-0.3083694,0.66284568,5.712398834,0.0204111,0.02368896,0.03302054,1.956649352,0.388270115,0.62483396,0.22080791,0.24158652,0.12902209,0.23486547,0.13330765,SN Ia
-9999.0,-9999.0,-19.98713,-20.406975,-9999.0,-9999.0,-9999.0,-9999.0,-8.438244,1.22174911,-2.7801976,1.54516546,-9999.0,-9999.0,0.13088816,0.04238258,-9999.0,-9999.0,-9999.0,-9999.0,0.41238749,0.20289857,0.38533555,0.19553786,SN Ia
-9999.0,-9999.0,-19.661153,-20.211124,-9999.0,-9999.0,-9999.0,-9999.0,-8.726560694,1.23203981,-2.9187762,1.57620987,-9999.0,-9999.0,7.376892802,0.06149735,-9999.0,-9999.0,-9999.0,-9999.0,0.420126152,0.207066141,0.39105789,0.19537926,SN Ia
-18.546732,-18.972176,-19.954859,-20.555307,-8.142085173,-0.322335219,-9.440830227,0.608957142,-8.281769621,1.188835282,-2.8082412,1.39035585,13.54124959,5.875974469,5.812951744,0.04986688,3.159556462,0.571905189,1.134078785,0.354608298,0.407961809,0.200893487,0.37861828,0.18741559,SN Ia
-9999.0,-17.427188,-18.291512,-18.753635,-9999.0,-9999.0,-5.15310588,0.451805366,-1.567362603,0.536373175,0.392555,0.17174904,-9999.0,2.635749811,0.799810693,0.03273815,-9999.0,-9999.0,0.56821534,0.208805272,0.243060905,0.116337873,0.23330488,0.12146207,SN Ia-91bg
-9999.0,-9999.0,-19.78691,-19.943259,-9999.0,-9999.0,-9999.0,-9999.0,-7.058560524,1.070040681,-2.139023762,1.253365555,-9999.0,-9999.0,9.993021023,0.073643576,-9999.0,-9999.0,-9999.0,-9999.0,0.375010526,0.184141814,0.351476302,0.179405895,SN Ia
-9999.0,-18.605109,-19.219209,-19.17454,-9999.0,-9999.0,-7.192844882,0.510699464,-4.078400238,0.780599881,-0.7667381,0.66360918,-9999.0,19.044948,11.15225324,0.16136074,-9999.0,-9999.0,0.753310828,0.258462355,0.299072681,0.145296649,0.28311987,0.14593207,SN Ia
-9999.0,-18.690072,-19.919562,-20.119414,-9999.0,-9999.0,-9.124979173,0.590248775,-7.5000976,1.07632718,-2.3420763,1.32568906,-9999.0,3.584128886,0.03480655,0.04185477,-9999.0,-9999.0,1.05519083,0.335521306,0.38535986,0.18575677,0.36160554,0.18427115,SN Ia
-15.759258,-15.691472,-16.048943,-16.165327,-1.9213563,0.36191271,-0.2124534,1.01595578,1.98246258,0.42906359,2.11788001,-0.2483582,0.03281562,0.03522103,0.03161013,0.04337352,0.56817445,0.20963216,0.35327614,0.14730818,0.18652717,0.08671943,0.18962527,0.10031879,SN II
-9999.0,-9999.0,-19.429292,-19.97718,-9999.0,-9999.0,-9999.0,-9999.0,-8.782163575,1.237441315,-2.971245135,1.573843367,-9999.0,-9999.0,14.84383044,0.092964487,-9999.0,-9999.0,-9999.0,-9999.0,0.421652927,0.207840814,0.392494034,0.198566827,SN Ia
-18.031596,-19.957431,-20.2614,-20.016524,-7.851917069,-0.121681108,-6.5078294,0.82439627,-4.3568972,0.90420466,-0.8209439,0.80675804,7.456660762,0.02531357,0.02458027,0.02971917,2.142177763,0.417716731,0.6622984,0.24075899,0.27488121,0.132401,0.26870402,0.13707626,SN Ia
-17.343056,-17.400046,-17.40888,-17.534993,-6.972378971,0.045845299,-4.833449429,0.434185626,-1.216100204,0.507004391,0.597143844,0.124876861,4.799247096,0.036718321,0.046433226,0.58520221,1.426682859,0.303315523,0.543850456,0.20029562,0.236346232,0.112554016,0.22882661,0.12017489,SN II
-18.577723,-19.565136,-19.596377,-19.607441,-8.163824079,-0.168588288,-6.050865433,0.360198604,-2.274326594,0.623970204,0.109199308,0.34096807,0.0381256,0.011148395,0.011948952,0.015565167,1.446861935,0.314450829,0.527374326,0.157410841,0.24311145,0.097617299,0.237770643,0.106821158,SN Ia
-17.951641,-19.587376,-19.594242,-19.480348,-7.443167859,-0.030087087,-6.3569959,0.43392616,-2.7199022,0.61547689,-0.0822208,0.41065548,5.845519351,0.04980695,0.03618231,0.03729192,1.733531685,0.352587048,0.62813802,0.22490232,0.26442611,0.12632859,0.25432966,0.13125067,SN Ia
-18.923739,-18.342173,-17.817105,-17.863314,-6.610895057,0.044065003,-6.150988246,0.456973701,-2.857483669,0.660841774,-0.166141416,0.445334443,0.416628254,0.062851728,0.086765999,1.261224454,1.368459446,0.356026438,0.629245987,0.230018759,0.270508308,0.130418255,0.258703176,0.134465944,SN II
-16.739645,-16.773179,-16.799525,-16.929808,-5.0474011,0.25471749,-0.9595633,0.77147404,1.87885447,0.33745496,2.02384069,-0.3973357,0.01950039,0.0177191,0.0157266,0.01996117,0.85484759,0.22552156,0.37908734,0.14896378,0.19084073,0.08721834,0.19073156,0.10112432,SN II
-9999.0,-17.964838,-19.282305,-19.817779,-9999.0,-9999.0,-8.408798323,0.555926172,-6.0139588,0.96372029,-1.6663733,1.08460279,-9999.0,6.410828355,0.07686844,0.07494336,-9999.0,-9999.0,0.918279611,0.301337787,0.34739303,0.16985297,0.32000888,0.16456545,SN Ia
-17.791379,-19.433005,-19.569044,-19.569635,-7.476713571,-0.036439341,-6.470747162,0.215983939,-3.142183826,0.52512468,-0.136622873,0.529219016,4.126927083,0.015121177,0.016610188,0.022469182,1.760871273,0.35695226,0.490791803,0.160722989,0.233222878,0.111162563,0.217035257,0.12484296,SN Ia
-18.344137,-19.197696,-19.39899,-19.387719,-7.829522605,-0.059985147,-5.751447331,0.020747435,-1.048848968,0.45755575,0.35395642,0.266734506,0.040730558,0.022243651,0.017247268,0.020901289,1.208172195,0.291448378,0.323421115,0.178625452,0.161277702,0.083083547,0.16831468,0.093676868,SN Ia
-9999.0,-18.754934,-19.852741,-20.026533,-9999.0,-9999.0,-8.673166971,0.567616401,-6.509077573,1.025644825,-1.877641587,1.15769291,-9999.0,3.909379811,0.037800593,0.045672103,-9999.0,-9999.0,0.963816393,0.312860357,0.360303254,0.175452197,0.338433668,0.172454381,SN Ia
-9999.0,-19.531149,-20.122697,-20.199385,-9999.0,-9999.0,-8.39055739,0.555148287,-5.8515817,1.0461873,-1.7426291,1.02603668,-9999.0,2.090934392,0.02791924,0.03337574,-9999.0,-9999.0,0.915276453,0.300574887,0.33305479,0.15714346,0.31876631,0.15730944,SN Ia
-18.253681,-17.686351,-17.572503,-17.608774,-4.1952606,0.47865957,-4.6998581,0.58574278,-1.4112431,0.54392833,0.498646088,0.166402091,0.08436064,0.03541715,0.0595615,0.595308573,0.99889663,0.29789454,0.52079936,0.19205448,0.23997396,0.11390305,0.232384118,0.12187247,SN II
-16.982033,-16.997959,-17.053012,-17.203361,-1.0095184,0.28398122,1.65924214,1.11067477,3.80236062,0.81131141,3.94351497,0.11588318,0.02201399,0.00781562,0.00981679,0.01516616,0.40664336,0.18036204,0.24195156,0.11412861,0.1305403,0.06998022,0.12935333,0.08345655,SN II
-18.985113,-19.239015,-19.234765,-18.770595,-6.688662889,0.137800094,-1.946326531,0.439743537,0.724211593,0.279879354,1.974715452,-0.329699508,0.012468716,0.013832441,0.012802287,0.010438747,0.397633844,0.214607554,0.197810892,0.115251855,0.134949417,0.070065193,0.130435651,0.094499648,SN Ia
-15.883113,-16.594903,-16.696115,-16.816719,-5.654567799,0.198998381,-1.619821995,-0.020038376,1.240796629,0.163429987,1.855322144,-0.34592645,2.983636929,0.015817083,0.018126235,0.02269252,0.94950669,0.228945578,0.260171115,0.132245635,0.162114778,0.082448912,0.162844011,0.093885703,SN Ibc
-17.671177,-17.869866,-18.004219,-17.880403,-7.164426874,0.016941098,-4.4209576,0.42537209,-1.3817863,0.52464308,0.42355757,0.26591436,4.715523518,0.06692242,0.06010958,0.08936244,1.54017536,0.321472996,0.53021343,0.20996331,0.2350929,0.11681974,0.2357585,0.12396443,SN II
-9999.0,-19.726987,-20.263088,-20.125937,-9999.0,-9999.0,-8.692592175,0.387530599,-5.792884132,1.015920972,-1.584546797,0.973944496,-9999.0,0.033175095,0.025452398,0.035071182,-9999.0,-9999.0,0.821982481,0.25839753,0.332609144,0.148369272,0.317654913,0.154988867,SN Ia
-9999.0,-9999.0,-9999.0,-21.136734,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.8336113,1.72822582,-9999.0,-9999.0,-9999.0,0.03256475,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.41748004,0.19998346,SN II
-18.846599,-18.771498,-18.386578,-18.191511,-7.6882419,-0.5793764,-6.3040243,0.00646875,-3.2423799,0.71019985,-0.3375754,0.52664069,0.03724326,0.0304022,0.05381375,0.11334033,1.29300524,0.32934093,0.57445538,0.23267267,0.27702526,0.13457402,0.26494691,0.13782726,SN II
-18.890398,-18.273222,-17.654638,-17.67147,-7.387689191,-0.360211243,-6.949837635,0.44846477,-3.666976446,0.740697631,-0.544995734,0.604462765,0.273130203,0.04620558,1.537203371,0.72611612,1.245611777,0.384858051,0.692669228,0.241855792,0.28926756,0.140242409,0.275150134,0.142389633,SN II
-9999.0,-9999.0,-20.029709,-20.450328,-9999.0,-9999.0,-9999.0,-9999.0,-9.62727252,1.319548217,-3.3770257,1.70934939,-9999.0,-9999.0,1.733827094,0.0547606,-9999.0,-9999.0,-9999.0,-9999.0,0.445007935,0.219672946,0.41311804,0.205437,SN Ia
-18.404987,-17.762794,-17.540008,-9999.0,-9.3774063,-0.5249482,-5.0197552,0.36040487,-2.355235663,0.613340632,-9999.0,-9999.0,0.05833662,0.07097246,1.254843616,-9999.0,1.44737449,0.31876051,0.56385343,0.21452563,0.259585083,0.124888836,-9999.0,-9999.0,SN II
-9999.0,-9999.0,-9999.0,-20.39215,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-4.222977124,2.116687821,-9999.0,-9999.0,-9999.0,0.118987494,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.460403727,0.232955869,SN Ia
-18.282409,-17.527696,-17.556215,-18.107612,-5.1833779,0.19666693,-0.1117609,0.97996743,1.32855266,0.62832209,2.0138102,-0.3784615,0.04655226,0.01616879,0.01805611,0.03657277,0.62023602,0.2358674,0.31796188,0.15650742,0.18179864,0.09197524,0.18020602,0.09412245,SN II
-18.691558,-18.561434,-18.062119,-18.143613,-6.8492794,-0.3590727,-6.2508492,0.36460009,-2.7609975,0.71052818,-0.15758697,0.447397151,0.05398598,0.05340265,0.06148094,0.220702225,1.0858248,0.33802061,0.58521754,0.22632748,0.2667383,0.12841148,0.258239317,0.134016867,SN II
-15.172176,-15.666463,-16.151121,-16.314619,-1.475642229,0.047629473,2.326807186,0.108969285,2.552078926,0.137963306,2.500575102,-0.44503772,0.095272294,0.040450473,0.03782431,0.042861076,0.732382554,0.22861733,0.268742338,0.150395074,0.170475675,0.087598038,0.174712322,0.101017656,ILOT
-18.191453,-19.518773,-19.69964,-19.745303,-7.357226472,-0.014949617,-5.417100164,0.826881008,-2.136819881,0.796384887,0.372991447,0.283264901,5.072024805,0.018186816,0.017034336,0.021822133,1.670450222,0.342398997,0.410161344,0.169354653,0.208242869,0.102310958,0.197823586,0.110269415,SN Ia
-19.183728,-18.734334,-18.036518,-9999.0,-10.0,-1.4649503,-6.4855371,0.33895489,-3.161276883,0.690776464,-9999.0,-9999.0,0.02213986,0.03110524,0.454088947,-9999.0,0.0,0.30985676,0.65001887,0.22160483,0.277140509,0.13409904,-9999.0,-9999.0,SN II
-9999.0,-9999.0,-20.113325,-20.109198,-9999.0,-9999.0,-9999.0,-9999.0,-6.852807922,1.027724166,-2.004841114,1.234829169,-9999.0,-9999.0,0.084834798,0.112585187,-9999.0,-9999.0,-9999.0,-9999.0,0.368010787,0.180099276,0.345515391,0.176264985,SN Ia
-9999.0,-19.392907,-20.269073,-20.341886,-9999.0,-9999.0,-8.30459791,0.551448607,-5.725941016,1.037710442,-1.764531666,1.019923236,-9999.0,2.36722042,0.028211537,0.036965878,-9999.0,-9999.0,0.901167775,0.297001115,0.333621327,0.161482005,0.308131983,0.160417965,SN Ia
-9999.0,-19.168468,-20.015924,-20.510286,-9999.0,-9999.0,-9.649007302,0.623540246,-8.976292718,1.150278679,-2.994422209,1.6250258,-9999.0,7.921955718,0.067115435,0.049103257,-9999.0,-9999.0,1.197555847,0.369625937,0.423730097,0.206013171,0.395008348,0.197141729,SN Ia
-9999.0,-16.681829,-17.061556,-17.520757,-9999.0,-9999.0,-3.913372238,0.422051778,-0.2478431,0.42809322,1.14855268,-0.0611676,-9999.0,2.706268162,0.07238837,0.07169565,-9999.0,-9999.0,0.490164732,0.187753706,0.21871605,0.10311958,0.20863771,0.11113084,CaRT
-9999.0,-19.269427,-20.090325,-20.048241,-9999.0,-9999.0,-8.2680487,0.60376043,-5.9136649,0.9793936,-1.68178,0.99967245,-9999.0,0.04493619,0.02938172,0.0394942,-9999.0,-9999.0,0.88393481,0.27112117,0.33241904,0.1531896,0.31462209,0.15567132,SN Ia
-17.902348,-17.749086,-17.409133,-9999.0,-6.75733691,0.094826754,-4.104588815,0.364257185,-1.202189577,0.534871405,-9999.0,-9999.0,0.049277568,0.055225874,0.075044302,-9999.0,1.240253048,0.271789337,0.497079943,0.201630988,0.234906573,0.113315409,-9999.0,-9999.0,SN II
-9999.0,-17.187093,-18.368389,-19.005438,-9999.0,-9999.0,-7.050735089,0.505960627,-3.8164347,0.81021159,0.49716583,0.3953897,-9999.0,6.300337656,0.06141723,0.05412775,-9999.0,-9999.0,0.737216594,0.254213285,0.29348125,0.14188614,0.24888533,0.13987263,SN II
-9999.0,-19.041175,-19.801529,-19.618391,-9999.0,-9999.0,-7.874583843,0.534533951,-5.372301706,0.685904717,-1.377966461,0.75172055,-9999.0,2.06431339,0.025647047,0.040328883,-9999.0,-9999.0,0.838248926,0.280752057,0.313111042,0.144046541,0.300127437,0.150315448,SN Ia
-9999.0,-19.203211,-19.496631,-19.610334,-9999.0,-9999.0,-6.4343639,0.70702524,-3.3520584,0.84768398,-0.2108998,0.65787033,-9999.0,0.02083729,0.02019215,0.02587283,-9999.0,-9999.0,0.63203747,0.2073707,0.27056532,0.12371862,0.24333959,0.12483448,SN Ia
-19.084105,-20.073985,-19.940206,-19.84497,-10.0,-0.9762768,-6.8437008,0.2576449,-3.2262348,0.70927408,-0.3549854,0.498577,0.03339886,0.01493752,0.01780347,0.02284128,0.0,0.32900416,0.67603295,0.21786251,0.2787384,0.13292142,0.26604376,0.13690327,SN Ia
-17.837542,-18.581022,-18.455286,-18.392245,-7.406368007,-0.023647299,-2.861430388,0.412691855,-2.284017936,0.666626822,0.066637462,0.397802405,6.182764075,0.033579183,0.046182301,0.070937198,1.70687824,0.348255325,0.414976292,0.215201974,0.253596443,0.125914593,0.246857036,0.131117824,SN II
-19.090609,-19.887312,-19.584039,-19.644943,-8.6816855,-0.2983921,-6.0127523,0.43734225,-1.6820602,0.63492021,0.33817945,0.15907379,0.02782164,0.01217723,0.01620289,0.02186092,1.24939817,0.29435832,0.31946909,0.15650685,0.19452678,0.10194638,0.18941463,0.11079548,SN Ia
-18.499811,-19.13371,-19.132206,-19.097947,-7.569711498,-0.264310701,-4.459126947,0.094888676,-0.502041458,0.223114214,0.968003378,-0.105724,0.01074494,0.006125557,0.008487375,0.01170959,1.04610686,0.235817896,0.436396345,0.131894051,0.210279778,0.082337098,0.209452842,0.101090069,SN Ia
-18.897936,-18.341067,-17.702621,-17.792662,-6.1824835,-0.0743607,-6.1891873,0.35838676,-2.7207628,0.67798616,-0.120897839,0.428033704,0.03409059,0.03638671,0.09694422,0.906890548,1.021121,0.31845313,0.59946584,0.22154901,0.26791489,0.12896339,0.256723037,0.133450995,SN II
-9999.0,-19.310698,-20.106055,-20.053287,-9999.0,-9999.0,-8.551972144,0.439298653,-5.911370254,0.961156555,-1.63240582,0.999305415,-9999.0,0.050200988,0.030811468,0.042577939,-9999.0,-9999.0,0.884864738,0.283693963,0.339315631,0.155991248,0.322308483,0.160482462,SN Ia
-9999.0,-18.984552,-19.60635,-19.715016,-9999.0,-9999.0,-8.863963493,0.576735715,-6.933660687,1.027428263,-2.115685196,1.186184602,-9999.0,4.717197784,0.05571964,0.07673469,-9999.0,-9999.0,1.000073746,0.321920474,0.368649339,0.177882182,0.34632809,0.175799751,SN Ia
-19.764899,-18.68171,-18.319517,-18.240235,-7.3193435,-0.0340722,-4.1624578,1.26129327,-2.2781477,0.76403762,0.05472765,0.4064257,1.29597483,0.03086537,0.04913483,0.06910227,1.29340665,0.34448074,0.55071215,0.18602525,0.25879755,0.12252682,0.24995698,0.12910116,SN II
-9999.0,-19.28353,-19.519189,-19.307049,-9999.0,-9999.0,-5.9216546,0.51084014,-4.0367048,0.92351516,-0.9556419,0.78048672,-9999.0,0.04544635,0.05231236,0.08396426,-9999.0,-9999.0,0.69059208,0.26788285,0.28405587,0.14774813,0.29277112,0.15163449,SN II
-9999.0,-9999.0,-9999.0,-20.264459,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.308384575,1.730356575,-9999.0,-9999.0,-9999.0,0.070659219,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.412248937,0.208028945,SN Ia
-18.254504,-17.696321,-17.76862,-17.842456,-7.7518131,-0.1366728,-3.2050914,0.87225053,-0.1957807,0.44228773,1.08706772,-0.0329722,0.01726964,0.01814194,0.03359351,0.03330653,1.05562865,0.26075213,0.46419506,0.15553925,0.21764463,0.10047649,0.21291257,0.11050968,SN II
-18.685162,-18.928044,-9999.0,-9999.0,-8.043166984,-0.186645232,-8.5140131,0.33196551,-9999.0,-9999.0,-9999.0,-9999.0,6.802823393,0.05214911,-9999.0,-9999.0,2.452639191,0.466326667,0.88613776,0.29029436,-9999.0,-9999.0,-9999.0,-9999.0,SN II
-9999.0,-9999.0,-9999.0,-20.174981,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.7278533,1.94864565,-9999.0,-9999.0,-9999.0,0.09170472,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.43633795,0.22107609,SN Ia
-9999.0,-19.075144,-19.861592,-20.081922,-9999.0,-9999.0,-8.975910067,0.575941831,-7.148704397,1.020661251,-2.266820509,1.168657657,-9999.0,0.085673228,0.032660728,0.037342825,-9999.0,-9999.0,1.014383589,0.325218904,0.373503471,0.178964956,0.349923923,0.174702761,SN Ia
-9999.0,-19.089023,-20.076025,-20.448036,-9999.0,-9999.0,-9.531502554,0.614818034,-8.5046566,1.22948913,-2.7706644,1.63072406,-9999.0,1.456136966,0.03494976,0.03537474,-9999.0,-9999.0,1.159824873,0.360755585,0.41022638,0.19602623,0.38504188,0.18737651,SN Ia
-16.253064,-17.364907,-17.327797,-17.135093,-6.485308738,0.10915842,-4.0073336,0.43030582,-0.1690144,0.37117049,1.14934564,-0.1390928,7.859402282,0.29866786,0.05451521,0.12750554,1.200893527,0.267430057,0.42514813,0.18285734,0.20540435,0.10078852,0.20452422,0.11045027,SN Iax
-18.802758,-18.257788,-17.939762,-17.858376,-7.2262536,-0.1284829,-6.0401449,0.22758225,-2.1352661,0.6187656,0.154458781,0.315037146,0.03768248,0.02415594,0.04717062,0.243091254,1.20886925,0.32449608,0.58943959,0.20078149,0.25463148,0.12096106,0.245656101,0.128179929,SN II
-18.13699,-19.684001,-19.743393,-19.731878,-7.523824908,-0.045678666,-6.5253623,0.35037695,-2.9981831,0.64016516,-0.2223039,0.47101937,5.043086916,0.01147906,0.01345758,0.0230028,1.800931031,0.363355001,0.64726794,0.19445619,0.27319415,0.13126766,0.26110897,0.13551653,SN Ia
-18.018296,-17.468243,-17.506254,-17.614954,-6.869070791,0.060473637,-2.774725655,0.79347729,-0.775935914,0.592859624,0.791499255,0.146621254,4.280769523,0.026881302,0.045070195,0.06176893,1.372159387,0.294599267,0.414800405,0.178126854,0.228822011,0.107874506,0.223735205,0.116678917,SN II
-15.653486,-15.865432,-16.072536,-16.161417,-2.385861222,0.337970735,2.521791993,0.169144181,1.898547764,0.177736078,1.991761002,-0.375253192,0.0354939,0.032507627,0.03548843,0.049966002,0.675195239,0.221625773,0.247315372,0.14067628,0.181655106,0.087717781,0.186920894,0.101527469,SN II
-9999.0,-18.909933,-19.874735,-20.151695,-9999.0,-9999.0,-9.047538678,0.586091676,-7.297828085,1.088747356,-2.26893209,1.29394312,-9999.0,6.152686953,0.046496787,0.057660591,-9999.0,-9999.0,1.038074223,0.331321205,0.380140478,0.184827624,0.355515071,0.179692182,SN Ia
-17.486925,-17.508538,-17.415398,-17.639123,-6.75307215,0.075505809,-1.2436801,0.09464241,-0.3892048,0.42477296,1.19508116,-0.0010974,5.153983953,0.04072452,0.05767031,0.06675583,1.317325498,0.285816655,0.35423742,0.17719385,0.2092103,0.10374532,0.20712498,0.11469788,SN II
-17.698165,-17.988769,-18.080772,-18.116767,-7.387145256,-0.020165548,-4.8801401,0.75022925,-1.6156958,0.6103604,0.11871876,0.3754092,5.034640323,0.02894602,0.04349575,0.09082044,1.692255581,0.34590812,0.58021244,0.21427024,0.23984575,0.1223501,0.24770398,0.13061888,SN II
-9999.0,-18.646414,-19.577732,-19.640409,-9999.0,-9999.0,-8.372181885,0.55434681,-5.938134977,0.978615563,-1.614889032,1.035788813,-9999.0,3.067307631,0.041257737,0.046744306,-9999.0,-9999.0,0.91227579,0.299810579,0.342326308,0.165316883,0.322435043,0.162328521,SN Ia
-17.34155,-18.242866,-18.340368,-18.302973,-7.4704649,-0.0320223,-5.5953066,0.17846441,-1.3413078,0.46627,0.51628394,0.07339845,0.05369056,0.02173046,0.03340323,0.03682172,1.37331581,0.29209277,0.51998622,0.19627303,0.23228918,0.11137711,0.2269619,0.11860144,SN Iax
